"District","FIPS","Year","High Needs Status","Variable","Measure Type","Value"
"Bridgeport School District","900108070","2016-2017","High Needs","Total Cohort Count","Number",1404
"Connecticut Technical High School System","","2012-2013","High Needs","Four Year Graduation Count","Number",1380
"Connecticut Technical High School System","","2017-2018","High Needs","Total Cohort Count","Number",1364
"Bridgeport School District","900108070","2010-2011","High Needs","Total Cohort Count","Number",1357
"Hartford School District","900337070","2016-2017","High Needs","Total Cohort Count","Number",1345
"Hartford School District","900337070","2014-2015","High Needs","Total Cohort Count","Number",1323
"Connecticut Technical High School System","","2017-2018","High Needs","Four Year Graduation Count","Number",1318
"Hartford School District","900337070","2015-2016","High Needs","Total Cohort Count","Number",1313
"Hartford School District","900337070","2011-2012","High Needs","Total Cohort Count","Number",1301
"Waterbury School District","900980070","2016-2017","High Needs","Total Cohort Count","Number",1299
"New Haven School District","900952070","2014-2015","High Needs","Total Cohort Count","Number",1297
"Hartford School District","900337070","2012-2013","High Needs","Total Cohort Count","Number",1271
"Hartford School District","900337070","2013-2014","High Needs","Total Cohort Count","Number",1259
"Bridgeport School District","900108070","2012-2013","High Needs","Total Cohort Count","Number",1221
"New Haven School District","900952070","2011-2012","High Needs","Total Cohort Count","Number",1210
"Waterbury School District","900980070","2018-2019","High Needs","Total Cohort Count","Number",1202
"New Haven School District","900952070","2016-2017","High Needs","Total Cohort Count","Number",1200
"New Haven School District","900952070","2012-2013","High Needs","Total Cohort Count","Number",1183
"New Haven School District","900952070","2018-2019","High Needs","Total Cohort Count","Number",1182
"New Haven School District","900952070","2015-2016","High Needs","Total Cohort Count","Number",1178
"Waterbury School District","900980070","2014-2015","High Needs","Total Cohort Count","Number",1175
"Waterbury School District","900980070","2013-2014","High Needs","Total Cohort Count","Number",1163
"Hartford School District","900337070","2018-2019","High Needs","Total Cohort Count","Number",1160
"New Haven School District","900952070","2013-2014","High Needs","Total Cohort Count","Number",1160
"Waterbury School District","900980070","2012-2013","High Needs","Total Cohort Count","Number",1151
"New Haven School District","900952070","2017-2018","High Needs","Total Cohort Count","Number",1137
"Bridgeport School District","900108070","2017-2018","High Needs","Total Cohort Count","Number",1119
"Waterbury School District","900980070","2011-2012","High Needs","Total Cohort Count","Number",1101
"Waterbury School District","900980070","2017-2018","High Needs","Total Cohort Count","Number",1098
"New Haven School District","900952070","2010-2011","High Needs","Total Cohort Count","Number",1096
"Waterbury School District","900980070","2015-2016","High Needs","Total Cohort Count","Number",1092
"Bridgeport School District","900108070","2018-2019","High Needs","Four Year Graduation Count","Number",1087
"Hartford School District","900337070","2017-2018","High Needs","Total Cohort Count","Number",1073
"Connecticut Technical High School System","","2017-2018","Non-High Needs","Total Cohort Count","Number",1058
"Bridgeport School District","900108070","2016-2017","High Needs","Four Year Graduation Count","Number",1046
"Connecticut Technical High School System","","2012-2013","Non-High Needs","Total Cohort Count","Number",1032
"Connecticut Technical High School System","","2017-2018","Non-High Needs","Four Year Graduation Count","Number",1032
"Connecticut Technical High School System","","2012-2013","Non-High Needs","Four Year Graduation Count","Number",1012
"Waterbury School District","900980070","2018-2019","High Needs","Four Year Graduation Count","Number",991
"Connecticut Technical High School System","","2011-2012","Non-High Needs","Total Cohort Count","Number",985
"Waterbury School District","900980070","2010-2011","High Needs","Total Cohort Count","Number",963
"New Haven School District","900952070","2014-2015","High Needs","Four Year Graduation Count","Number",958
"Connecticut Technical High School System","","2011-2012","Non-High Needs","Four Year Graduation Count","Number",955
"New Haven School District","900952070","2016-2017","High Needs","Four Year Graduation Count","Number",929
"New Haven School District","900952070","2018-2019","High Needs","Four Year Graduation Count","Number",927
"Connecticut Technical High School System","","2013-2014","Non-High Needs","Total Cohort Count","Number",898
"New Haven School District","900952070","2015-2016","High Needs","Four Year Graduation Count","Number",892
"Hartford School District","900337070","2014-2015","High Needs","Four Year Graduation Count","Number",889
"Hartford School District","900337070","2010-2011","High Needs","Four Year Graduation Count","Number",887
"Hartford School District","900337070","2015-2016","High Needs","Four Year Graduation Count","Number",887
"Hartford School District","900337070","2016-2017","High Needs","Four Year Graduation Count","Number",883
"Hartford School District","900337070","2013-2014","High Needs","Four Year Graduation Count","Number",876
"Connecticut Technical High School System","","2013-2014","Non-High Needs","Four Year Graduation Count","Number",874
"New Haven School District","900952070","2017-2018","High Needs","Four Year Graduation Count","Number",872
"Hartford School District","900337070","2012-2013","High Needs","Four Year Graduation Count","Number",868
"Connecticut Technical High School System","","2014-2015","Non-High Needs","Total Cohort Count","Number",863
"Connecticut Technical High School System","","2016-2017","Non-High Needs","Total Cohort Count","Number",859
"New Haven School District","900952070","2013-2014","High Needs","Four Year Graduation Count","Number",856
"Connecticut Technical High School System","","2014-2015","Non-High Needs","Four Year Graduation Count","Number",847
"New Haven School District","900952070","2011-2012","High Needs","Four Year Graduation Count","Number",847
"Connecticut Technical High School System","","2016-2017","Non-High Needs","Four Year Graduation Count","Number",846
"Connecticut Technical High School System","","2015-2016","Non-High Needs","Total Cohort Count","Number",844
"New Haven School District","900952070","2012-2013","High Needs","Four Year Graduation Count","Number",835
"Bridgeport School District","900108070","2010-2011","High Needs","Four Year Graduation Count","Number",822
"Connecticut Technical High School System","","2015-2016","Non-High Needs","Four Year Graduation Count","Number",822
"Bridgeport School District","900108070","2012-2013","High Needs","Four Year Graduation Count","Number",820
"Waterbury School District","900980070","2017-2018","High Needs","Four Year Graduation Count","Number",820
"Hartford School District","900337070","2011-2012","High Needs","Four Year Graduation Count","Number",809
"Hartford School District","900337070","2018-2019","High Needs","Four Year Graduation Count","Number",802
"Bridgeport School District","900108070","2017-2018","High Needs","Four Year Graduation Count","Number",779
"Waterbury School District","900980070","2014-2015","High Needs","Four Year Graduation Count","Number",778
"Waterbury School District","900980070","2015-2016","High Needs","Four Year Graduation Count","Number",772
"Stamford School District","900173070","2014-2015","High Needs","Total Cohort Count","Number",769
"Stamford School District","900173070","2018-2019","High Needs","Total Cohort Count","Number",769
"Waterbury School District","900980070","2013-2014","High Needs","Four Year Graduation Count","Number",758
"Stamford School District","900173070","2016-2017","High Needs","Total Cohort Count","Number",753
"Connecticut","9","2011-2012","Non-High Needs","Other Count","Number",738
"Stamford School District","900173070","2013-2014","High Needs","Total Cohort Count","Number",737
"Stamford School District","900173070","2017-2018","High Needs","Total Cohort Count","Number",736
"Waterbury School District","900980070","2012-2013","High Needs","Four Year Graduation Count","Number",736
"Stamford School District","900173070","2015-2016","High Needs","Total Cohort Count","Number",731
"Connecticut","9","2010-2011","Non-High Needs","Still Enrolled After Four Years Count","Number",716
"Hartford School District","900337070","2017-2018","High Needs","Four Year Graduation Count","Number",714
"Stamford School District","900173070","2012-2013","High Needs","Total Cohort Count","Number",714
"Stamford School District","900173070","2011-2012","High Needs","Total Cohort Count","Number",708
"Waterbury School District","900980070","2011-2012","High Needs","Four Year Graduation Count","Number",667
"New Haven School District","900952070","2010-2011","High Needs","Four Year Graduation Count","Number",659
"Stamford School District","900173070","2016-2017","High Needs","Four Year Graduation Count","Number",657
"Connecticut Technical High School System","","2018-2019","Non-High Needs","Total Cohort Count","Number",647
"Connecticut Technical High School System","","2018-2019","Non-High Needs","Four Year Graduation Count","Number",635
"Stamford School District","900173070","2014-2015","High Needs","Four Year Graduation Count","Number",630
"Stamford School District","900173070","2018-2019","High Needs","Four Year Graduation Count","Number",624
"Stamford School District","900173070","2013-2014","High Needs","Four Year Graduation Count","Number",619
"Stamford School District","900173070","2010-2011","Non-High Needs","Total Cohort Count","Number",616
"West Hartford School District","900382590","2010-2011","Non-High Needs","Total Cohort Count","Number",611
"New Britain School District","900350440","2018-2019","High Needs","Total Cohort Count","Number",609
"Stamford School District","900173070","2015-2016","High Needs","Four Year Graduation Count","Number",609
"Stamford School District","900173070","2017-2018","High Needs","Four Year Graduation Count","Number",609
"West Hartford School District","900382590","2010-2011","Non-High Needs","Four Year Graduation Count","Number",591
"Waterbury School District","900980070","2010-2011","High Needs","Four Year Graduation Count","Number",590
"Stamford School District","900173070","2012-2013","High Needs","Four Year Graduation Count","Number",589
"New Britain School District","900350440","2014-2015","High Needs","Total Cohort Count","Number",579
"Norwalk School District","900156060","2018-2019","High Needs","Total Cohort Count","Number",577
"Stamford School District","900173070","2010-2011","High Needs","Total Cohort Count","Number",573
"New Britain School District","900350440","2015-2016","High Needs","Total Cohort Count","Number",569
"New Britain School District","900350440","2016-2017","High Needs","Total Cohort Count","Number",569
"Stamford School District","900173070","2010-2011","Non-High Needs","Four Year Graduation Count","Number",566
"Fairfield School District","900126620","2017-2018","Non-High Needs","Total Cohort Count","Number",564
"Fairfield School District","900126620","2017-2018","Non-High Needs","Four Year Graduation Count","Number",560
"New Britain School District","900350440","2012-2013","High Needs","Total Cohort Count","Number",559
"Fairfield School District","900126620","2013-2014","Non-High Needs","Total Cohort Count","Number",558
"Fairfield School District","900126620","2015-2016","Non-High Needs","Total Cohort Count","Number",558
"Danbury School District","900118500","2018-2019","High Needs","Total Cohort Count","Number",556
"New Britain School District","900350440","2013-2014","High Needs","Total Cohort Count","Number",556
"Stamford School District","900173070","2011-2012","High Needs","Four Year Graduation Count","Number",555
"Fairfield School District","900126620","2010-2011","Non-High Needs","Total Cohort Count","Number",554
"New Britain School District","900350440","2010-2011","High Needs","Total Cohort Count","Number",553
"Fairfield School District","900126620","2015-2016","Non-High Needs","Four Year Graduation Count","Number",552
"Connecticut","9","2012-2013","Non-High Needs","Other Count","Number",550
"Fairfield School District","900126620","2013-2014","Non-High Needs","Four Year Graduation Count","Number",549
"Fairfield School District","900126620","2016-2017","Non-High Needs","Total Cohort Count","Number",545
"West Hartford School District","900382590","2012-2013","Non-High Needs","Total Cohort Count","Number",543
"New Britain School District","900350440","2017-2018","High Needs","Total Cohort Count","Number",542
"Fairfield School District","900126620","2018-2019","Non-High Needs","Total Cohort Count","Number",541
"Fairfield School District","900126620","2016-2017","Non-High Needs","Four Year Graduation Count","Number",539
"Fairfield School District","900126620","2010-2011","Non-High Needs","Four Year Graduation Count","Number",538
"Fairfield School District","900126620","2018-2019","Non-High Needs","Four Year Graduation Count","Number",538
"New Britain School District","900350440","2011-2012","High Needs","Total Cohort Count","Number",538
"Fairfield School District","900126620","2014-2015","Non-High Needs","Total Cohort Count","Number",535
"West Hartford School District","900382590","2012-2013","Non-High Needs","Four Year Graduation Count","Number",535
"Fairfield School District","900126620","2011-2012","Non-High Needs","Total Cohort Count","Number",528
"Norwalk School District","900156060","2010-2011","Non-High Needs","Total Cohort Count","Number",527
"Fairfield School District","900126620","2012-2013","Non-High Needs","Total Cohort Count","Number",526
"Fairfield School District","900126620","2014-2015","Non-High Needs","Four Year Graduation Count","Number",526
"Unified School District #1","","2011-2012","High Needs","Total Cohort Count","Number",522
"Fairfield School District","900126620","2011-2012","Non-High Needs","Four Year Graduation Count","Number",515
"Fairfield School District","900126620","2012-2013","Non-High Needs","Four Year Graduation Count","Number",512
"West Hartford School District","900382590","2011-2012","Non-High Needs","Total Cohort Count","Number",512
"Norwalk School District","900156060","2016-2017","High Needs","Total Cohort Count","Number",511
"Danbury School District","900118500","2016-2017","High Needs","Total Cohort Count","Number",504
"Stamford School District","900173070","2012-2013","Non-High Needs","Total Cohort Count","Number",504
"West Hartford School District","900382590","2011-2012","Non-High Needs","Four Year Graduation Count","Number",502
"Greenwich School District","900133620","2012-2013","Non-High Needs","Total Cohort Count","Number",501
"West Hartford School District","900382590","2017-2018","Non-High Needs","Total Cohort Count","Number",501
"Norwalk School District","900156060","2017-2018","High Needs","Total Cohort Count","Number",499
"Norwalk School District","900156060","2018-2019","High Needs","Four Year Graduation Count","Number",499
"West Hartford School District","900382590","2016-2017","Non-High Needs","Total Cohort Count","Number",497
"Greenwich School District","900133620","2010-2011","Non-High Needs","Total Cohort Count","Number",496
"West Hartford School District","900382590","2015-2016","Non-High Needs","Total Cohort Count","Number",496
"West Hartford School District","900382590","2017-2018","Non-High Needs","Four Year Graduation Count","Number",496
"Greenwich School District","900133620","2012-2013","Non-High Needs","Four Year Graduation Count","Number",495
"Stamford School District","900173070","2012-2013","Non-High Needs","Four Year Graduation Count","Number",494
"Unified School District #1","","2010-2011","High Needs","Total Cohort Count","Number",492
"Danbury School District","900118500","2014-2015","High Needs","Total Cohort Count","Number",490
"West Hartford School District","900382590","2015-2016","Non-High Needs","Four Year Graduation Count","Number",490
"Meriden School District","900946520","2017-2018","High Needs","Total Cohort Count","Number",487
"Connecticut Technical High School System","","2010-2011","High Needs","Total Cohort Count","Number",486
"Greenwich School District","900133620","2010-2011","Non-High Needs","Four Year Graduation Count","Number",484
"Meriden School District","900946520","2014-2015","High Needs","Total Cohort Count","Number",483
"West Hartford School District","900382590","2013-2014","Non-High Needs","Total Cohort Count","Number",483
"Meriden School District","900946520","2016-2017","High Needs","Total Cohort Count","Number",479
"Stamford School District","900173070","2011-2012","Non-High Needs","Total Cohort Count","Number",478
"West Hartford School District","900382590","2013-2014","Non-High Needs","Four Year Graduation Count","Number",477
"Meriden School District","900946520","2018-2019","High Needs","Total Cohort Count","Number",476
"Norwalk School District","900156060","2010-2011","Non-High Needs","Four Year Graduation Count","Number",475
"Norwalk School District","900156060","2014-2015","High Needs","Total Cohort Count","Number",474
"Meriden School District","900946520","2015-2016","High Needs","Total Cohort Count","Number",471
"Danbury School District","900118500","2017-2018","High Needs","Total Cohort Count","Number",468
"West Hartford School District","900382590","2018-2019","Non-High Needs","Total Cohort Count","Number",468
"Greenwich School District","900133620","2013-2014","Non-High Needs","Total Cohort Count","Number",467
"Norwalk School District","900156060","2013-2014","High Needs","Total Cohort Count","Number",467
"Bristol School District","900308490","2010-2011","Non-High Needs","Total Cohort Count","Number",466
"Danbury School District","900118500","2015-2016","High Needs","Total Cohort Count","Number",465
"New Britain School District","900350440","2018-2019","High Needs","Four Year Graduation Count","Number",464
"Norwalk School District","900156060","2015-2016","High Needs","Total Cohort Count","Number",464
"Meriden School District","900946520","2012-2013","High Needs","Total Cohort Count","Number",463
"Stamford School District","900173070","2013-2014","Non-High Needs","Total Cohort Count","Number",463
"Glastonbury School District","900331240","2012-2013","Non-High Needs","Total Cohort Count","Number",460
"Glastonbury School District","900331240","2013-2014","Non-High Needs","Total Cohort Count","Number",460
"Stamford School District","900173070","2015-2016","Non-High Needs","Total Cohort Count","Number",460
"West Hartford School District","900382590","2018-2019","Non-High Needs","Four Year Graduation Count","Number",460
"Glastonbury School District","900331240","2010-2011","Non-High Needs","Total Cohort Count","Number",459
"Greenwich School District","900133620","2013-2014","Non-High Needs","Four Year Graduation Count","Number",459
"Glastonbury School District","900331240","2013-2014","Non-High Needs","Four Year Graduation Count","Number",458
"Glastonbury School District","900331240","2012-2013","Non-High Needs","Four Year Graduation Count","Number",457
"Greenwich School District","900133620","2014-2015","Non-High Needs","Total Cohort Count","Number",456
"Greenwich School District","900133620","2016-2017","Non-High Needs","Total Cohort Count","Number",456
"Stamford School District","900173070","2011-2012","Non-High Needs","Four Year Graduation Count","Number",456
"West Hartford School District","900382590","2014-2015","Non-High Needs","Total Cohort Count","Number",456
"Glastonbury School District","900331240","2010-2011","Non-High Needs","Four Year Graduation Count","Number",455
"Norwalk School District","900156060","2016-2017","High Needs","Four Year Graduation Count","Number",454
"Danbury School District","900118500","2013-2014","High Needs","Total Cohort Count","Number",453
"East Hartford School District","900322630","2018-2019","High Needs","Total Cohort Count","Number",452
"Greenwich School District","900133620","2011-2012","Non-High Needs","Total Cohort Count","Number",452
"Greenwich School District","900133620","2014-2015","Non-High Needs","Four Year Graduation Count","Number",452
"West Hartford School District","900382590","2014-2015","Non-High Needs","Four Year Graduation Count","Number",452
"Connecticut","9","2017-2018","Non-High Needs","Other Count","Number",451
"Greenwich School District","900133620","2016-2017","Non-High Needs","Four Year Graduation Count","Number",451
"Southington School District","900370550","2010-2011","Non-High Needs","Total Cohort Count","Number",451
"Norwich Free Academy District","","2018-2019","High Needs","Total Cohort Count","Number",450
"Greenwich School District","900133620","2018-2019","Non-High Needs","Total Cohort Count","Number",448
"Meriden School District","900946520","2013-2014","High Needs","Total Cohort Count","Number",448
"Stamford School District","900173070","2010-2011","High Needs","Four Year Graduation Count","Number",448
"Stamford School District","900173070","2013-2014","Non-High Needs","Four Year Graduation Count","Number",448
"Stamford School District","900173070","2014-2015","Non-High Needs","Total Cohort Count","Number",448
"Wallingford School District","900978740","2010-2011","Non-High Needs","Total Cohort Count","Number",448
"Meriden School District","900946520","2011-2012","High Needs","Total Cohort Count","Number",447
"Stamford School District","900173070","2016-2017","Non-High Needs","Total Cohort Count","Number",447
"Danbury School District","900118500","2012-2013","High Needs","Total Cohort Count","Number",446
"Greenwich School District","900133620","2018-2019","Non-High Needs","Four Year Graduation Count","Number",446
"East Hartford School District","900322630","2011-2012","High Needs","Total Cohort Count","Number",445
"Stamford School District","900173070","2015-2016","Non-High Needs","Four Year Graduation Count","Number",445
"Trumbull School District","900177200","2010-2011","Non-High Needs","Total Cohort Count","Number",445
"East Hartford School District","900322630","2014-2015","High Needs","Total Cohort Count","Number",443
"Stamford School District","900173070","2017-2018","Non-High Needs","Total Cohort Count","Number",443
"Trumbull School District","900177200","2011-2012","Non-High Needs","Total Cohort Count","Number",443
"Norwalk School District","900156060","2011-2012","High Needs","Total Cohort Count","Number",441
"Trumbull School District","900177200","2012-2013","Non-High Needs","Total Cohort Count","Number",441
"Greenwich School District","900133620","2015-2016","Non-High Needs","Total Cohort Count","Number",439
"Stamford School District","900173070","2016-2017","Non-High Needs","Four Year Graduation Count","Number",439
"Trumbull School District","900177200","2011-2012","Non-High Needs","Four Year Graduation Count","Number",439
"Trumbull School District","900177200","2010-2011","Non-High Needs","Four Year Graduation Count","Number",438
"Trumbull School District","900177200","2012-2013","Non-High Needs","Four Year Graduation Count","Number",437
"Greenwich School District","900133620","2017-2018","Non-High Needs","Total Cohort Count","Number",435
"Trumbull School District","900177200","2013-2014","Non-High Needs","Total Cohort Count","Number",435
"Trumbull School District","900177200","2015-2016","Non-High Needs","Total Cohort Count","Number",435
"Stamford School District","900173070","2014-2015","Non-High Needs","Four Year Graduation Count","Number",434
"Connecticut Technical High School System","","2010-2011","High Needs","Four Year Graduation Count","Number",433
"Danbury School District","900118500","2010-2011","Non-High Needs","Total Cohort Count","Number",433
"Greenwich School District","900133620","2011-2012","Non-High Needs","Four Year Graduation Count","Number",433
"Greenwich School District","900133620","2015-2016","Non-High Needs","Four Year Graduation Count","Number",432
"Norwalk School District","900156060","2011-2012","Non-High Needs","Total Cohort Count","Number",432
"Norwalk School District","900156060","2017-2018","High Needs","Four Year Graduation Count","Number",432
"Trumbull School District","900177200","2013-2014","Non-High Needs","Four Year Graduation Count","Number",432
"Greenwich School District","900133620","2017-2018","Non-High Needs","Four Year Graduation Count","Number",429
"Trumbull School District","900177200","2014-2015","Non-High Needs","Total Cohort Count","Number",429
"Trumbull School District","900177200","2014-2015","Non-High Needs","Four Year Graduation Count","Number",429
"East Hartford School District","900322630","2012-2013","High Needs","Total Cohort Count","Number",426
"East Hartford School District","900322630","2015-2016","High Needs","Total Cohort Count","Number",425
"Trumbull School District","900177200","2017-2018","Non-High Needs","Total Cohort Count","Number",424
"Southington School District","900370550","2010-2011","Non-High Needs","Four Year Graduation Count","Number",422
"Stamford School District","900173070","2017-2018","Non-High Needs","Four Year Graduation Count","Number",422
"Connecticut","9","2013-2014","Non-High Needs","Other Count","Number",421
"Glastonbury School District","900331240","2015-2016","Non-High Needs","Total Cohort Count","Number",419
"Glastonbury School District","900331240","2015-2016","Non-High Needs","Four Year Graduation Count","Number",419
"Trumbull School District","900177200","2017-2018","Non-High Needs","Four Year Graduation Count","Number",419
"East Hartford School District","900322630","2016-2017","High Needs","Total Cohort Count","Number",417
"Glastonbury School District","900331240","2014-2015","Non-High Needs","Total Cohort Count","Number",415
"Norwalk School District","900156060","2012-2013","High Needs","Total Cohort Count","Number",414
"Glastonbury School District","900331240","2011-2012","Non-High Needs","Total Cohort Count","Number",413
"Glastonbury School District","900331240","2014-2015","Non-High Needs","Four Year Graduation Count","Number",412
"Westport School District","900183500","2010-2011","Non-High Needs","Total Cohort Count","Number",411
"Glastonbury School District","900331240","2011-2012","Non-High Needs","Four Year Graduation Count","Number",410
"Danbury School District","900118500","2011-2012","High Needs","Total Cohort Count","Number",407
"Wallingford School District","900978740","2010-2011","Non-High Needs","Four Year Graduation Count","Number",407
"Bristol School District","900308490","2018-2019","High Needs","Total Cohort Count","Number",406
"Danbury School District","900118500","2018-2019","High Needs","Four Year Graduation Count","Number",406
"Westport School District","900183500","2010-2011","Non-High Needs","Four Year Graduation Count","Number",405
"East Hartford School District","900322630","2013-2014","High Needs","Total Cohort Count","Number",403
"Westport School District","900183500","2012-2013","Non-High Needs","Total Cohort Count","Number",403
"New Britain School District","900350440","2016-2017","High Needs","Four Year Graduation Count","Number",402
"Norwalk School District","900156060","2011-2012","Non-High Needs","Four Year Graduation Count","Number",402
"Norwalk School District","900156060","2014-2015","Non-High Needs","Total Cohort Count","Number",402
"Westport School District","900183500","2012-2013","Non-High Needs","Four Year Graduation Count","Number",402
"Connecticut","9","2014-2015","Non-High Needs","Other Count","Number",400
"Norwich Free Academy District","","2010-2011","Non-High Needs","Total Cohort Count","Number",400
"Norwalk School District","900156060","2014-2015","High Needs","Four Year Graduation Count","Number",398
"Newtown School District","900152980","2012-2013","Non-High Needs","Total Cohort Count","Number",396
"Bristol School District","900308490","2010-2011","Non-High Needs","Four Year Graduation Count","Number",395
"Southington School District","900370550","2017-2018","Non-High Needs","Total Cohort Count","Number",395
"Enfield School District","900325990","2010-2011","Non-High Needs","Total Cohort Count","Number",394
"Glastonbury School District","900331240","2018-2019","Non-High Needs","Total Cohort Count","Number",394
"Norwalk School District","900156060","2015-2016","High Needs","Four Year Graduation Count","Number",394
"Norwalk School District","900156060","2017-2018","Non-High Needs","Total Cohort Count","Number",394
"Glastonbury School District","900331240","2017-2018","Non-High Needs","Total Cohort Count","Number",393
"Glastonbury School District","900331240","2017-2018","Non-High Needs","Four Year Graduation Count","Number",393
"Glastonbury School District","900331240","2018-2019","Non-High Needs","Four Year Graduation Count","Number",393
"Hartford School District","900337070","2010-2011","High Needs","Other Count","Number",393
"Ridgefield School District","900163970","2013-2014","Non-High Needs","Total Cohort Count","Number",392
